,Year,Total Human Population,Human Kcal Deficit,Total Prey Animals Population,Number of Prey Animals Eaten,Total Cereal Population (*10^3),Number of Cereal Patches Exploited,Proportion of Domestic-Type Cereal,Average Cereal Patch Density (*10^3)
0,0.00000,50.00000,0.00000,4000.00000,0.00000,3300000.00000,0.00000,0.02000,33000.00000
1,1.00000,52.00000,29347992.00000,4139.00000,6.00000,3301500.00000,16.00000,0.02156,33015.00000
2,2.00000,48.00000,26595724.70506,4295.00000,9.00000,3303000.00000,16.00000,0.02312,33030.00000
3,3.00000,47.00000,26108593.77385,4469.00000,6.00000,3304300.00000,15.00000,0.02439,33043.00000
4,4.00000,48.00000,26479164.54113,4631.00000,12.00000,3305500.00000,14.00000,0.02556,33055.00000
5,5.00000,51.00000,29175603.59292,4828.00000,11.00000,3306900.00000,15.00000,0.02703,33069.00000
6,6.00000,51.00000,28519401.50162,5014.00000,6.00000,3308400.00000,16.00000,0.02862,33084.00000
7,7.00000,52.00000,29916451.71048,5228.00000,11.00000,3309900.00000,16.00000,0.03020,33099.00000
8,8.00000,54.00000,30523685.28995,5436.00000,11.00000,3311400.00000,16.00000,0.03179,33114.00000
9,9.00000,56.00000,30900800.97236,5661.00000,24.00000,3312700.00000,15.00000,0.03309,33127.00000
10,10.00000,56.00000,31434145.88967,5882.00000,23.00000,3314200.00000,16.00000,0.03469,33142.00000
11,11.00000,59.00000,33294899.71040,6000.00000,24.00000,3315700.00000,16.00000,0.03629,33157.00000
12,12.00000,61.00000,35030697.17408,6000.00000,27.00000,3317300.00000,17.00000,0.03801,33173.00000
13,13.00000,60.00000,34232008.57324,6000.00000,43.00000,3318800.00000,16.00000,0.03962,33188.00000
14,14.00000,64.00000,36398333.97314,6000.00000,39.00000,3320300.00000,16.00000,0.04124,33203.00000
15,15.00000,62.00000,34328361.31726,6000.00000,24.00000,3322000.00000,18.00000,0.04308,33220.00000
16,16.00000,61.00000,34796818.36452,6000.00000,23.00000,3323700.00000,18.00000,0.04493,33237.00000
17,17.00000,60.00000,34052044.07468,6000.00000,29.00000,3325200.00000,17.00000,0.04648,33252.00000
18,18.00000,61.00000,33435050.73482,6000.00000,29.00000,3326600.00000,16.00000,0.04793,33266.00000
19,19.00000,62.00000,35111455.54572,6000.00000,28.00000,3328200.00000,17.00000,0.04968,33282.00000
20,20.00000,66.00000,37661194.96192,6000.00000,22.00000,3329900.00000,18.00000,0.05155,33299.00000
21,21.00000,75.00000,42690927.12202,6000.00000,36.00000,3331600.00000,18.00000,0.05342,33316.00000
22,22.00000,78.00000,44402251.26345,6000.00000,33.00000,3333600.00000,21.00000,0.05564,33336.00000
23,23.00000,77.00000,43182198.30983,6000.00000,27.00000,3335700.00000,22.00000,0.05797,33357.00000
